slug,title,price_cents,compare_at_cents,currency,video_url,image_count,categories,url
10-ball-roman-candle,10 Ball Roman Candle,187,,CAD,https://video.wixstatic.com/video/fa6517_cff291fe0ea24514b07e51804db8c5d2/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/10-ball-roman-candle
100-shot-saturn-missiles,100 Shot Saturn Missiles,2399,,CAD,https://video.wixstatic.com/video/fa6517_1c7a20b694b642138ab72eb7da2f85b5/1080p/mp4/file.mp4,2,rockets-missiles,https://www.pyrobobs.ca/product-page/100-shot-saturn-missiles
12-ball-roman-candle,12 Ball Roman Candle,224,,CAD,https://video.wixstatic.com/video/fa6517_17915af506b845bab1a66d05ad8251a1/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/12-ball-roman-candle
13-ball-roman-candle,13 Ball Roman Candle,247,,CAD,https://video.wixstatic.com/video/fa6517_fad94305d767458091465ccff36ab430/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/13-ball-roman-candle
15-ball-roman-candle,15 Ball Roman Candle,277,,CAD,https://video.wixstatic.com/video/fa6517_ecfc58131d5a4349bce0848b4dbfe6a9/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/15-ball-roman-candle
20-ball-roman-candle,20 Ball Roman Candle,299,,CAD,https://video.wixstatic.com/video/fa6517_c12df84a00de41cba8ab12cd9db14742/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/20-ball-roman-candle
20cm-7-sparklers,20cm (7&quot;) Sparklers,82,,CAD,,1,sparklers,https://www.pyrobobs.ca/product-page/20cm-7-sparklers
25-shot-barrage,25 Shot Barrage,1274,,CAD,https://video.wixstatic.com/video/fa6517_fa1e5a71fd034b08a787ead77148c224/1080p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/25-shot-barrage
25-shot-missle-battery,25 Shot Missle Battery,634,,CAD,https://video.wixstatic.com/video/fa6517_928d8fdfac804a58b4a198174721f2e4/1080p/mp4/file.mp4,2,rockets-missiles,https://www.pyrobobs.ca/product-page/25-shot-missle-battery
26cm-10-sparklers,26cm (10&quot;) Sparklers,127,,CAD,https://video.wixstatic.com/video/fa6517_e48e1a56cdb146ee9621b05c616c6f94/480p/mp4/file.mp4,2,sparklers,https://www.pyrobobs.ca/product-page/26cm-10-sparklers
3-stage-sky-rockets-12-pack,3 Stage Sky Rockets (12 pack),524,,CAD,https://video.wixstatic.com/video/fa6517_c1b2ba023b034d0e8d664f9bc8265c32/1080p/mp4/file.mp4,2,rockets-missiles,https://www.pyrobobs.ca/product-page/3-stage-sky-rockets-12-pack
30cm-12-sparklers,30cm (12&quot;) Sparklers,194,,CAD,,1,sparklers,https://www.pyrobobs.ca/product-page/30cm-12-sparklers
36cm-14-sparklers,36cm (14&quot;) Sparklers,224,,CAD,https://video.wixstatic.com/video/fa6517_2fea9fe96e3f401e9b2189831245c042/480p/mp4/file.mp4,2,sparklers,https://www.pyrobobs.ca/product-page/36cm-14-sparklers
5-ball-roman-candle,5 Ball Roman Candle,134,,CAD,https://video.wixstatic.com/video/fa6517_7b55d2acd63f4a749cb011554d9e440f/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/5-ball-roman-candle
50-shot-strobing-missiles,50 Shot Strobing Missiles,1199,,CAD,https://video.wixstatic.com/video/fa6517_164d9c700b024b158c549c314d6956bc/1080p/mp4/file.mp4,2,rockets-missiles,https://www.pyrobobs.ca/product-page/50-shot-strobing-missiles
50cm-20-sparklers,50cm (20&quot;) Sparklers,449,,CAD,,1,sparklers,https://www.pyrobobs.ca/product-page/50cm-20-sparklers
70-shot-barrage,70 Shot Barrage,2099,,CAD,https://video.wixstatic.com/video/fa6517_340b856611b942dd81b2e35599bac985/480p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/70-shot-barrage
70-shot-crackling-barrage,70 Shot Crackling Barrage,2249,,CAD,https://video.wixstatic.com/video/fa6517_cbc0f035e03a47738aaf675d5c4f6b93/480p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/70-shot-crackling-barrage
70-shot-mosaic,70 Shot Mosaic,2174,,CAD,https://video.wixstatic.com/video/fa6517_d7585c7d19644ea9acf23a856ebdb371/1080p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/70-shot-mosaic
70cm-28-sparklers,70cm (28&quot;) Sparklers,524,,CAD,,1,sparklers,https://www.pyrobobs.ca/product-page/70cm-28-sparklers
72-shot-pearl-battery,72 Shot Pearl Battery,2174,,CAD,https://video.wixstatic.com/video/fa6517_0f93b32ead494e6cb7a9e10e8a706f4d/480p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/72-shot-pearl-battery
8-ball-crackling-candle,8 Ball Crackling Candle,262,,CAD,https://video.wixstatic.com/video/fa6517_999c7aa4682a4985b1dfad7115ff0162/480p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/8-ball-crackling-candle
8-ball-roman-candle,8 Ball Roman Candle,149,,CAD,https://video.wixstatic.com/video/fa6517_22a6af8bc6c94777bc91ec195d2d93c5/1080p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/8-ball-roman-candle
91-shot-kaleidoscope,91 Shot Kaleidoscope,2474,,CAD,https://video.wixstatic.com/video/fa6517_c93912379f034b31af504df77490fe0f/1080p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/91-shot-kaleidoscope
act-of-valour,Act of Valour,5249,,CAD,https://video.wixstatic.com/video/fa6517_da567130371f4ee1938abb2af6a03ba7/480p/mp4/file.mp4,2,bobs-featured|pro-pyro-cake-fanned|specials,https://www.pyrobobs.ca/product-page/act-of-valour
aerial-avalanche,Aerial Avalanche,6374,,CAD,https://video.wixstatic.com/video/fa6517_e9942878367e46989ec70d36044a72f5/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/aerial-avalanche
african-lion,African Lion,599,,CAD,https://video.wixstatic.com/video/fa6517_8dfd893e978642b591c540f2f96f54fc/1080p/mp4/file.mp4,2,specialty-bombette,https://www.pyrobobs.ca/product-page/african-lion
after-shock,After Shock,4874,,CAD,https://video.wixstatic.com/video/fa6517_c3d1a38591a54d2684bbf425c6752f62/480p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/after-shock
aftermath,Aftermath,5024,,CAD,https://video.wixstatic.com/video/fa6517_5edc4f106c0240db8dc8325593a218dc/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/aftermath
air-colour-bomb,Air Colour Bomb,674,,CAD,https://video.wixstatic.com/video/fa6517_2506cb5e1aea49959ccc9affcecb696f/480p/mp4/file.mp4,2,bombshell,https://www.pyrobobs.ca/product-page/air-colour-bomb
air-raid,Air Raid,1199,,CAD,https://video.wixstatic.com/video/fa6517_c68e448cf22a4d82bc791e24d6ed1cf1/480p/mp4/file.mp4,2,mine,https://www.pyrobobs.ca/product-page/air-raid
air-striker,Air Striker,524,,CAD,https://video.wixstatic.com/video/fa6517_f54f105c5d5149cbb39d8010ba191c2d/1080p/mp4/file.mp4,2,novelty-item,https://www.pyrobobs.ca/product-page/air-striker
aladdin-3-pack,Aladdin (3 pack),599,,CAD,https://video.wixstatic.com/video/fa6517_0e64f3e10f6d40fc81b75a7107385f7a/1080p/mp4/file.mp4,2,ground-spinner,https://www.pyrobobs.ca/product-page/aladdin-3-pack
all-blue,All Blue,4049,,CAD,https://video.wixstatic.com/video/fa6517_f4d7277bbba24d97aa8bc4ede7402aa8/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/all-blue
all-crackle,All Crackle,4049,,CAD,https://video.wixstatic.com/video/fa6517_3de800c537fb46a2b07dd8a9a963b391/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/all-crackle
all-dressed,All Dressed,2999,,CAD,https://video.wixstatic.com/video/fa6517_5ed267d957594ab58a09f2e4cbda849f/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/all-dressed
all-pink,All Pink,4049,,CAD,https://video.wixstatic.com/video/fa6517_619379bd20564fe89026a7458fd2cf6a/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/all-pink
all-purple,All Purple,4049,,CAD,https://video.wixstatic.com/video/fa6517_fd8eff5b0133492aba3691ed83026eb6/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/all-purple
all-yellow,All Yellow,4049,,CAD,https://video.wixstatic.com/video/fa6517_ead7c737ef3648dc86756a8746c625b5/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/all-yellow
ammo-crate,Ammo Crate,67499,,CAD,,2,bobs-featured|family-pack|specials,https://www.pyrobobs.ca/product-page/ammo-crate
anarchy,Anarchy,6299,,CAD,https://video.wixstatic.com/video/fa6517_4889969ab0124441a16d6de13ca5020a/480p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/anarchy
angel-wings,Angel Wings,2624,,CAD,https://video.wixstatic.com/video/fa6517_c27c5131579040f782b6ecd21e933a7b/1080p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/angel-wings
anger-management,Anger Management,2549,,CAD,https://video.wixstatic.com/video/fa6517_52629f6565b84967b6210efdbcd1db8a/240p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/anger-management
apex,Apex,5249,,CAD,https://video.wixstatic.com/video/fa6517_89699489e07e4588bde8a598071c8ef9/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/apex
apocalypse-wow,Apocalypse Wow!,2024,,CAD,https://video.wixstatic.com/video/fa6517_69f67076ec7f4f6fb1c7e27521334b60/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/apocalypse-wow
arctic-blast,Arctic Blast,10124,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/arctic-blast
area-51,Area 51,749,,CAD,https://video.wixstatic.com/video/fa6517_d6f86317d2174546aba8101508c376de/480p/mp4/file.mp4,2,specialty-bombette,https://www.pyrobobs.ca/product-page/area-51
armageddon,Armageddon,17249,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/armageddon
attitude-adjustment,Attitude Adjustment,1949,,CAD,https://video.wixstatic.com/video/fa6517_035f3ccbb76f4323963c87fa7d1f779a/1080p/mp4/file.mp4,2,cake|specials,https://www.pyrobobs.ca/product-page/attitude-adjustment
aurora,Aurora,674,,CAD,https://video.wixstatic.com/video/fa6517_4343840c43b046119271e004a919e4da/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/aurora
backyard-boogie,Backyard Boogie,7274,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/backyard-boogie
bad-attitude,Bad Attitude,4874,,CAD,https://video.wixstatic.com/video/fa6517_d4d9264bed3c476fb89ea45d1264eb1f/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/bad-attitude
ballistic,Ballistic,4424,,CAD,https://video.wixstatic.com/video/fa6517_c6ca6d765a554f9aa4c94f5e7c4dd4af/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/ballistic
bandito,Bandito,4499,,CAD,https://video.wixstatic.com/video/fa6517_3822c54bc79a495fbadf8c91a998efd1/480p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/bandito
bang-bomb,Bang Bomb,188,,CAD,https://video.wixstatic.com/video/fa6517_b259ebf1177f438fa3d1df6e60a771ab/720p/mp4/file.mp4,2,noise-maker,https://www.pyrobobs.ca/product-page/bang-bomb
banger-plus,Banger Plus,862,,CAD,https://video.wixstatic.com/video/fa6517_6a00517289364884aa5e264aff3fa183/1080p/mp4/file.mp4,2,specialty-bombette,https://www.pyrobobs.ca/product-page/banger-plus
basket-of-cherries,Basket Of Cherries,1274,,CAD,https://video.wixstatic.com/video/fa6517_8b700931d25a48fc9307e00c88a163ad/480p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/basket-of-cherries
battle-of-colors-new,Battle of Colors *NEW*,2099,,CAD,https://video.wixstatic.com/video/fa6517_6e63c98efa664cfe80a17150e9053514/480p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/battle-of-colors-new
big-box-of-bang,Big Box Of Bang,17175,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/big-box-of-bang
big-bubba,Big Bubba,2324,,CAD,https://video.wixstatic.com/video/fa6517_4f0a63dc30574b599ef4fa2aad6b9fc1/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/big-bubba
blackout-fountain,Blackout Fountain,2999,,CAD,https://video.wixstatic.com/video/fa6517_54b16cc4bec34e46a4d38cec52fc34f7/480p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/blackout-fountain
bling,Bling!,119,,CAD,https://video.wixstatic.com/video/fa6517_8df0669f7eda4cc6969c5f13843ccca2/1080p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/bling
blue-dragon-candle,Blue Dragon Candle,562,,CAD,https://video.wixstatic.com/video/fa6517_8009be968fd04dcdb3772ef60d025603/480p/mp4/file.mp4,2,roman-candle,https://www.pyrobobs.ca/product-page/blue-dragon-candle
blue-it-up,Blue it Up!,4874,,CAD,https://video.wixstatic.com/video/fa6517_df5465d55b35478ca0badd678a1c0ff0/720p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/blue-it-up
blue-mine,Blue Mine,599,,CAD,https://video.wixstatic.com/video/fa6517_a8abab027190448496c3040353610372/720p/mp4/file.mp4,2,mine,https://www.pyrobobs.ca/product-page/blue-mine
blue-ring-with-white-strobe-pistil,Blue Ring with White Strobe Pistil,1349,,CAD,https://video.wixstatic.com/video/fa6517_913fa42493f347c181057fdf9b2af4e1/480p/mp4/file.mp4,2,bombshell,https://www.pyrobobs.ca/product-page/blue-ring-with-white-strobe-pistil
bombastic,Bombastic,1499,,CAD,https://video.wixstatic.com/video/fa6517_cb44d15bd7e54a51846dd59252d6945c/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/bombastic
bomber,Bomber,4874,,CAD,https://video.wixstatic.com/video/fa6517_6739ed775e8b47689ba27392986e1b89/360p/mp4/file.mp4,2,cake|specials,https://www.pyrobobs.ca/product-page/bomber
bonanza,Bonanza,1049,,CAD,https://video.wixstatic.com/video/fa6517_c9ba1f4e30a2469891c0e2763edf31e2/1080p/mp4/file.mp4,2,bombshell,https://www.pyrobobs.ca/product-page/bonanza
boom-box,Boom Box,1424,,CAD,,1,family-pack|specials,https://www.pyrobobs.ca/product-page/boom-box
brazilian-bombshell,Brazilian Bombshell,1049,,CAD,https://video.wixstatic.com/video/fa6517_54197479af564b8eaa18bec766d3bc91/1080p/mp4/file.mp4,2,brazilian-shell,https://www.pyrobobs.ca/product-page/brazilian-bombshell
break-out,Break Out,2999,,CAD,,1,cake,https://www.pyrobobs.ca/product-page/break-out
breaking-point,Breaking Point,3749,,CAD,https://video.wixstatic.com/video/fa6517_1b88246764074dab9edd62ed1d9823da/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/breaking-point
brocade-crown,Brocade Crown,3674,,CAD,https://video.wixstatic.com/video/fa6517_fdd6b8d44e1c47da8ed91c57d4f5563f/720p/mp4/file.mp4,2,cake|specials,https://www.pyrobobs.ca/product-page/brocade-crown
bull-s-eye,Bull's Eye,749,,CAD,https://video.wixstatic.com/video/fa6517_74cd8515b7e6441aaefa3090152aa206/480p/mp4/file.mp4,2,specialty-bombette,https://www.pyrobobs.ca/product-page/bull-s-eye
bullet-train,Bullet Train,449,,CAD,https://video.wixstatic.com/video/fa6517_e4feb6b486394db882d366da9e19a56a/1080p/mp4/file.mp4,2,bombshell,https://www.pyrobobs.ca/product-page/bullet-train
bullseye,Bullseye,1274,,CAD,https://video.wixstatic.com/video/fa6517_f359f3a07b2745a289c8a30bd9aef040/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/bullseye
burning-schoolhouse,Burning Schoolhouse,524,,CAD,https://video.wixstatic.com/video/fa6517_052cea2b764848fd8df167adbd85ee97/1080p/mp4/file.mp4,2,novelty-item,https://www.pyrobobs.ca/product-page/burning-schoolhouse
busy-bee-new,Busy Bee *NEW*,2024,,CAD,,1,cake,https://www.pyrobobs.ca/product-page/busy-bee-new
butterfly-blitz-new,Butterfly Blitz *NEW*,674,,CAD,,1,mine,https://www.pyrobobs.ca/product-page/butterfly-blitz-new
buzzed-new,Buzzed *NEW*,2774,,CAD,,1,bobs-featured|cake,https://www.pyrobobs.ca/product-page/buzzed-new
cake-fiesta-new,Cake Fiesta *NEW*,11474,,CAD,,1,family-pack|specials,https://www.pyrobobs.ca/product-page/cake-fiesta-new
cake-party,Cake Party,15374,,CAD,,1,family-pack|specials,https://www.pyrobobs.ca/product-page/cake-party
canada-eh,"Canada, Eh!",4874,,CAD,https://video.wixstatic.com/video/fa6517_2f90582e75364630ba89e31532d69594/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/canada-eh
canada-fountain,Canada Fountain,1274,,CAD,https://video.wixstatic.com/video/fa6517_26bc8a172e794f8aa24614b582a0c2ab/360p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/canada-fountain
canadian-barrage,Canadian Barrage,1274,,CAD,https://video.wixstatic.com/video/fa6517_d5d1f7e1b9e34d7b8f80d674b66d3c70/1080p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/canadian-barrage
canadian-pride,Canadian Pride,2099,,CAD,https://video.wixstatic.com/video/fa6517_e2b7d968b5a9424e9ea821dc6bf330ee/480p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/canadian-pride
candy-crackle,Candy Crackle,374,,CAD,https://video.wixstatic.com/video/fa6517_783ee4374675446ca987c58b6947cb7f/1080p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/candy-crackle
carmel-fountain,Carmel Fountain,172,,CAD,https://video.wixstatic.com/video/fa6517_32864f63e0fc449d98583582d96c9925/480p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/carmel-fountain
cdc-9191,CDC-9191,3974,,CAD,https://video.wixstatic.com/video/fa6517_00b4fe92be0348a1a85324a875a545c8/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/cdc-9191
cdc-9292,CDC-9292,5999,,CAD,https://video.wixstatic.com/video/fa6517_67d5ab6d1ef94639ac40a07ea3885e2b/1080p/mp4/file.mp4,2,pro-pyro-cake-fanned,https://www.pyrobobs.ca/product-page/cdc-9292
cdc-9393,CDC-9393,5624,,CAD,https://video.wixstatic.com/video/fa6517_c3092804afc84f569960d36255c311b0/1080p/mp4/file.mp4,2,pro-pyro-cake-fanned,https://www.pyrobobs.ca/product-page/cdc-9393
cdc-9494,CDC-9494,4424,,CAD,https://video.wixstatic.com/video/fa6517_30fa7d8e06a646a996e0c0ee8862f6b0/1080p/mp4/file.mp4,2,pro-pyro-cake-fanned,https://www.pyrobobs.ca/product-page/cdc-9494
cdc-9595,CDC-9595,4424,,CAD,https://video.wixstatic.com/video/fa6517_3e5ed46e8ee0482fad488de066c9369b/1080p/mp4/file.mp4,2,pro-pyro-cake-fanned,https://www.pyrobobs.ca/product-page/cdc-9595
cdc-9696,CDC-9696,4574,,CAD,https://video.wixstatic.com/video/fa6517_9c3360be90af43409f020969765c882a/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/cdc-9696
cdc-9797,CDC-9797,4574,,CAD,https://video.wixstatic.com/video/fa6517_c25e66672e604823a3e3c6fd1dc4a1e3/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/cdc-9797
cdc-9898,CDC-9898,4574,,CAD,https://video.wixstatic.com/video/fa6517_c720d295ba194d3793e355cb3c7c3f67/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/cdc-9898
cdc-9999,CDC-9999,4799,,CAD,https://video.wixstatic.com/video/fa6517_2155e1280dbd4e41a05dee3cda0eadaf/1080p/mp4/file.mp4,2,pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/cdc-9999
cdc-pro-series-collection-new,CDC Pro Series Collection *NEW*,34499,,CAD,,1,family-pack|specials,https://www.pyrobobs.ca/product-page/cdc-pro-series-collection-new
celebration,Celebration,36374,,CAD,,1,family-pack|specials,https://www.pyrobobs.ca/product-page/celebration
chaos,Chaos,2174,,CAD,https://video.wixstatic.com/video/fa6517_c82632522918426c9d1863f4eddf67c7/480p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/chaos
charm-fountains-3-pack,Charm Fountains (3 pack),1049,,CAD,,48,fountain,https://www.pyrobobs.ca/product-page/charm-fountains-3-pack
cherry-blaster,Cherry Blaster,1274,,CAD,https://video.wixstatic.com/video/fa6517_ea76a4e246c149d2937a8d83ede15641/1080p/mp4/file.mp4,2,barrage,https://www.pyrobobs.ca/product-page/cherry-blaster
chinook,Chinook,599,,CAD,https://video.wixstatic.com/video/fa6517_d65b5a38ac98403395d9b660cb4ea24e/1080p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/chinook
color-spring-fountain,Color Spring Fountain,412,,CAD,https://video.wixstatic.com/video/fa6517_92a4630237614441ab8cd158187dff4f/1080p/mp4/file.mp4,2,fountain,https://www.pyrobobs.ca/product-page/color-spring-fountain
competition-killer,Competition Killer,32249,,CAD,,1,family-pack,https://www.pyrobobs.ca/product-page/competition-killer
cosmic-blast,Cosmic Blast,974,,CAD,https://video.wixstatic.com/video/fa6517_b00d5f877bd742278e7800f4059ba298/1080p/mp4/file.mp4,2,cake,https://www.pyrobobs.ca/product-page/cosmic-blast
cotton-candy-fountain,Cotton Candy Fountain,224,,CAD,,1,fountain,https://www.pyrobobs.ca/product-page/cotton-candy-fountain
counter-strike,Counter Strike,4499,,CAD,https://video.wixstatic.com/video/fa6517_dc6206f19b6f4aac8bd47a60f86af7e6/1080p/mp4/file.mp4,2,fanned-cake,https://www.pyrobobs.ca/product-page/counter-strike
crackle-jacks-6-pack,Crackle Jacks (6 pack),224,,CAD,https://video.wixstatic.com/video/fa6517_0960d9a02be2483ea7d1fcd3b83d2511/1080p/mp4/file.mp4,2,ground-spinner,https://www.pyrobobs.ca/product-page/crackle-jacks-6-pack
crackling-crysanthemums,Crackling Crysanthemums,4799,,CAD,https://video.wixstatic.com/video/fa6517_c44d136e438a4f4ab69207c0b4c6fe6b/1080p/mp4/file.mp4,2,bobs-featured|pro-pyro-cake-vertical,https://www.pyrobobs.ca/product-page/crackling-crysanthemums
